"path","extension","bytes","runtime_exists","identical"
"ui\dish_icons\dish_46_goi_cuon_tom_thit.png",".png","230578","True","True"
"ui\dish_icons\dish_47_wagyu_sot_nam_truffle.png",".png","221218","True","True"
"ui\dish_icons\dish_48_ca_phe_sua_da.png",".png","150647","True","True"
"ui\dish_icons\dish_49_com_hai_san_hoang_gia.png",".png","2438662","True","True"
"ui\dish_icons\dish_50_lahoue_imperial_feast.png",".png","523370","True","True"
"ui\status_action\attention_important.png",".png","92157","True","True"
"ui\status_action\buy.png",".png","120823","True","True"
"ui\status_action\cancel_close.png",".png","70169","True","True"
"ui\status_action\capacity.png",".png","119272","True","True"
"ui\status_action\collect.png",".png","84532","True","True"
"ui\status_action\exp_gain.png",".png","86176","True","True"
"ui\status_action\fast_forward.png",".png","69327","True","True"
"ui\status_action\in_progress.png",".png","93842","True","True"
"ui\status_action\information.png",".png","62938","True","True"
"ui\status_action\level_up.png",".png","89758","True","True"
"ui\status_action\locked.png",".png","104332","True","True"
"ui\status_action\money_cost.png",".png","76885","True","True"
"ui\status_action\money_gain.png",".png","97939","True","True"
"ui\status_action\new_unlock.png",".png","100010","True","True"
"ui\status_action\next_day.png",".png","96698","True","True"
"ui\status_action\ready.png",".png","115676","True","True"
"ui\status_action\requirement_not_met.png",".png","88751","True","True"
"ui\status_action\salary_paid.png",".png","126878","True","True"
"ui\status_action\salary.png",".png","109842","True","True"
"ui\status_action\save_saved.png",".png","79325","True","True"
"ui\status_action\staff_off_duty.png",".png","125357","True","True"
"ui\status_action\storage_full.png",".png","120349","True","True"
"ui\status_action\success_completed.png",".png","116960","True","True"
"ui\status_action\timer.png",".png","87427","True","True"
"ui\status_action\unavailable.png",".png","98102","True","True"
"ui\status_action\unlocked.png",".png","106950","True","True"
"ui\status_action\upgrade.png",".png","115342","True","True"
"ui\status_action\warning.png",".png","100777","True","True"
"vehicles\helicopters\helicopter_lv1.png",".png","2299772","True","True"
"vehicles\helicopters\helicopter_lv2.png",".png","1331022","True","True"
"vehicles\helicopters\helicopter_lv3.png",".png","1546313","True","True"
"vehicles\helicopters\helicopter_lv4.png",".png","1716738","True","True"
"vehicles\helicopters\helicopter_lv5.png",".png","1863386","True","True"
"vehicles\trucks\truck_lv1.png",".png","2833746","True","True"
"vehicles\trucks\truck_lv2.png",".png","269584","True","True"
"vehicles\trucks\truck_lv3.png",".png","349251","True","True"
"vehicles\trucks\truck_lv4.png",".png","411475","True","True"
"vehicles\trucks\truck_lv5.png",".png","439743","True","True"
"world\buildings\aquaculture_pond.png",".png","2753157","True","True"
"world\buildings\chicken_coop.png",".png","2592509","True","True"
"world\buildings\cow_barn.png",".png","3015906","True","True"
"world\buildings\helipad.png",".png","2931721","True","True"
"world\buildings\market.png",".png","2930811","True","True"
"world\buildings\pig_pen.png",".png","2165295","True","True"
"world\buildings\premium_market.png",".png","2930910","True","True"
"world\buildings\resort.png",".png","3099868","True","True"
"world\buildings\restaurant.png",".png","2845803","True","True"
"world\buildings\truck_depot.png",".png","2156335","True","True"
"world\buildings\vip_area.png",".png","3059272","True","True"
"world\buildings\warehouse.png",".png","2815628","True","True"
"world\environment\farm_fence_gate.png",".png","1607287","True","True"
"world\environment\road_tiles_kit.png",".png","3119804","True","True"
"world\farm_plots\empty_farm_plot.png",".png","233379","True","True"
"world\props\directional_signs_kit.png",".png","2639291","True","True"
"world\props\farm_warehouse_utility_props_atlas.png",".png","2128609","True","True"
"world\props\logistics_props_atlas.png",".png","2797365","True","True"
"world\props\natural_props_atlas.png",".png","2976410","True","True"
"world\props\outdoor_dining_set_atlas.png",".png","8525642","True","True"
"world\props\restaurant_kitchen_cooking_station_module_set.png",".png","2267262","True","True"
